# time (ps)       depth (nm)       Te (K)      Tl(K)
  0.1000000000E-04     0.4213836478E+02     0.3000000476E+03     0.3000000000E+03
  0.1000000000E-04     0.4276729560E+02     0.3000000474E+03     0.3000000000E+03
  0.1000000000E-04     0.4339622642E+02     0.3000000471E+03     0.3000000000E+03
  0.1000000000E-04     0.4402515723E+02     0.3000000469E+03     0.3000000000E+03
  0.1000000000E-04     0.4465408805E+02     0.3000000466E+03     0.3000000000E+03
  0.1000000000E-04     0.4528301887E+02     0.3000000464E+03     0.3000000000E+03
  0.1000000000E-04     0.4591194969E+02     0.3000000462E+03     0.3000000000E+03
  0.1000000000E-04     0.4654088050E+02     0.3000000459E+03     0.3000000000E+03
  0.1000000000E-04     0.4716981132E+02     0.3000000457E+03     0.3000000000E+03
  0.1000000000E-04     0.4779874214E+02     0.3000000454E+03     0.3000000000E+03
  0.1000000000E-04     0.4842767296E+02     0.3000000452E+03     0.3000000000E+03
  0.1000000000E-04     0.4905660377E+02     0.3000000450E+03     0.3000000000E+03
  0.1000000000E-04     0.4968553459E+02     0.3000000447E+03     0.3000000000E+03
  0.1000000000E-04     0.5031446541E+02     0.3000000445E+03     0.3000000000E+03
  0.1000000000E-04     0.5094339623E+02     0.3000000443E+03     0.3000000000E+03
  0.1000000000E-04     0.5157232704E+02     0.3000000440E+03     0.3000000000E+03
  0.1000000000E-04     0.5220125786E+02     0.3000000438E+03     0.3000000000E+03
  0.1000000000E-04     0.5283018868E+02     0.3000000436E+03     0.3000000000E+03
  0.1000000000E-04     0.5345911950E+02     0.3000000434E+03     0.3000000000E+03
  0.1000000000E-04     0.5408805031E+02     0.3000000431E+03     0.3000000000E+03
  0.1000000000E-04     0.5471698113E+02     0.3000000429E+03     0.3000000000E+03
  0.1000000000E-04     0.5534591195E+02     0.3000000427E+03     0.3000000000E+03
  0.1000000000E-04     0.5597484277E+02     0.3000000425E+03     0.3000000000E+03
  0.1000000000E-04     0.5660377358E+02     0.3000000423E+03     0.3000000000E+03
  0.1000000000E-04     0.5723270440E+02     0.3000000420E+03     0.3000000000E+03
  0.1000000000E-04     0.5786163522E+02     0.3000000418E+03     0.3000000000E+03
  0.1000000000E-04     0.5849056604E+02     0.3000000416E+03     0.3000000000E+03
  0.1000000000E-04     0.5911949686E+02     0.3000000414E+03     0.3000000000E+03
  0.1000000000E-04     0.5974842767E+02     0.3000000412E+03     0.3000000000E+03
  0.1000000000E-04     0.6037735849E+02     0.3000000410E+03     0.3000000000E+03
  0.1000000000E-04     0.6100628931E+02     0.3000000408E+03     0.3000000000E+03
  0.1000000000E-04     0.6163522013E+02     0.3000000405E+03     0.3000000000E+03
  0.1000000000E-04     0.6226415094E+02     0.3000000403E+03     0.3000000000E+03
  0.1000000000E-04     0.6289308176E+02     0.3000000401E+03     0.3000000000E+03
  0.1000000000E-04     0.6352201258E+02     0.3000000399E+03     0.3000000000E+03
  0.1000000000E-04     0.6415094340E+02     0.3000000397E+03     0.3000000000E+03
  0.1000000000E-04     0.6477987421E+02     0.3000000395E+03     0.3000000000E+03
  0.1000000000E-04     0.6540880503E+02     0.3000000393E+03     0.3000000000E+03
  0.1000000000E-04     0.6603773585E+02     0.3000000391E+03     0.3000000000E+03
  0.1000000000E-04     0.6666666667E+02     0.3000000389E+03     0.3000000000E+03
  0.1000000000E-04     0.6729559748E+02     0.3000000387E+03     0.3000000000E+03
  0.1000000000E-04     0.6792452830E+02     0.3000000385E+03     0.3000000000E+03
  0.1000000000E-04     0.6855345912E+02     0.3000000383E+03     0.3000000000E+03
  0.1000000000E-04     0.6918238994E+02     0.3000000381E+03     0.3000000000E+03
  0.1000000000E-04     0.6981132075E+02     0.3000000379E+03     0.3000000000E+03
  0.1000000000E-04     0.7044025157E+02     0.3000000377E+03     0.3000000000E+03
  0.1000000000E-04     0.7106918239E+02     0.3000000375E+03     0.3000000000E+03
  0.1000000000E-04     0.7169811321E+02     0.3000000373E+03     0.3000000000E+03
  0.1000000000E-04     0.7232704403E+02     0.3000000371E+03     0.3000000000E+03
  0.1000000000E-04     0.7295597484E+02     0.3000000369E+03     0.3000000000E+03
  0.1000000000E-04     0.7358490566E+02     0.3000000367E+03     0.3000000000E+03
  0.1000000000E-04     0.7421383648E+02     0.3000000365E+03     0.3000000000E+03
  0.1000000000E-04     0.7484276730E+02     0.3000000364E+03     0.3000000000E+03
  0.1000000000E-04     0.7547169811E+02     0.3000000362E+03     0.3000000000E+03
  0.1000000000E-04     0.7610062893E+02     0.3000000360E+03     0.3000000000E+03
  0.1000000000E-04     0.7672955975E+02     0.3000000358E+03     0.3000000000E+03
