# time (ps)       Fabs (J/m^2)       E_el (J/m^2)      E_lat (J/m^2)       Delta_E (%)
        9.10000000         139.01717158          51.22165745          81.96694472      0.04193
        9.20000000         139.01717158          50.56468109          82.63433026      0.04185
        9.30000000         139.01717158          49.91329368          83.29603257      0.04178
        9.40000000         139.01717158          49.26747985          83.95206730      0.04170
        9.50000000         139.01717158          48.62722414          84.60245019      0.04163
        9.60000000         139.01717158          47.99251102          85.24719704      0.04156
        9.70000000         139.01717158          47.36332490          85.88632374      0.04149
        9.80000000         139.01717158          46.73965008          86.51984627      0.04142
        9.90000000         139.01717158          46.12147082          87.14778067      0.04135
       10.00000000         139.01717158          45.50877125          87.77014308      0.04128
       10.10000000         139.01717158          44.90153545          88.38694972      0.04121
