# time (ps)       Fabs (J/m^2)       E_el (J/m^2)      E_lat (J/m^2)       Delta_E (%)
        0.00001000           0.00000010           0.00000010           0.00000000      0.01728
        0.10000000           0.02810468           0.02705311           0.00054476      0.01803
        0.20000000           1.27149469           1.21533197           0.02571417      0.02395
        0.30000000          16.40345883          15.67492911           0.23236119      0.03025
        0.40000000          68.62862339          65.56958796           0.84501208      0.03226
        0.50000000         120.85701173         115.04042511           1.85641917      0.03277
        0.60000000         135.99179667         128.49834714           3.03703295      0.03277
        0.70000000         137.23557706         128.51524513           4.24060185      0.03264
        0.80000000         137.26369423         127.36321590           5.43904098      0.03250
        0.90000000         137.26386433         126.19088973           6.63069149      0.03236
        1.00000000         137.26386460         125.02509394           7.81553520      0.03222
        1.10000000         137.26386460         123.86597933           8.99358397      0.03209
        1.20000000         137.26386460         122.71353394          10.16484996      0.03195
        1.30000000         137.26386460         121.56774576          11.32934534      0.03181
        1.40000000         137.26386460         120.42860277          12.48708233      0.03168
        1.50000000         137.26386460         119.29609295          13.63807314      0.03154
        1.60000000         137.26386460         118.17020429          14.78233002      0.03141
        1.70000000         137.26386460         117.05092472          15.91986522      0.03128
        1.80000000         137.26386460         115.93824216          17.05069105      0.03114
        1.90000000         137.26386460         114.83214453          18.17481981      0.03101
        2.00000000         137.26386460         113.73261970          19.29226383      0.03088
        2.10000000         137.26386460         112.63965554          20.40303547      0.03075
        2.20000000         137.26386460         111.55323987          21.50714711      0.03062
        2.30000000         137.26386460         110.47336052          22.60461115      0.03050
        2.40000000         137.26386460         109.40000526          23.69544002      0.03037
        2.50000000         137.26386460         108.33316187          24.77964617      0.03024
        2.60000000         137.26386460         107.27281809          25.85724207      0.03012
        2.70000000         137.26386460         106.21896163          26.92824024      0.02999
        2.80000000         137.26386460         105.17158017          27.99265320      0.02987
        2.90000000         137.26386460         104.13066139          29.05049350      0.02974
        3.00000000         137.26386460         103.09619291          30.10177374      0.02962
        3.10000000         137.26386460         102.06816235          31.14650651      0.02950
        3.20000000         137.26386460         101.04655730          32.18470446      0.02938
        3.30000000         137.26386460         100.03136530          33.21638024      0.02926
        3.40000000         137.26386460          99.02257389          34.24154657      0.02914
        3.50000000         137.26386460          98.02017056          35.26021615      0.02902
        3.60000000         137.26386460          97.02414278          36.27240175      0.02890
        3.70000000         137.26386460          96.03447799          37.27811614      0.02879
        3.80000000         137.26386460          95.05116361          38.27737214      0.02867
        3.90000000         137.26386460          94.07418701          39.27018260      0.02855
        4.00000000         137.26386460          93.10353553          40.25656039      0.02844
        4.10000000         137.26386460          92.13919650          41.23651842      0.02833
        4.20000000         137.26386460          91.18115720          42.21006964      0.02821
        4.30000000         137.26386460          90.22940489          43.17722702      0.02810
        4.40000000         137.26386460          89.28392677          44.13800356      0.02799
        4.50000000         137.26386460          88.34471004          45.09241232      0.02788
        4.60000000         137.26386460          87.41174185          46.04046636      0.02777
        4.70000000         137.26386460          86.48500931          46.98217881      0.02766
        4.80000000         137.26386460          85.56449950          47.91756281      0.02755
        4.90000000         137.26386460          84.65019948          48.84663156      0.02744
        5.00000000         137.26386460          83.74209624          49.76939826      0.02734
        5.10000000         137.26386460          82.84017675          50.68587620      0.02723
        5.20000000         137.26386460          81.94442796          51.59607865      0.02713
        5.30000000         137.26386460          81.05483676          52.50001898      0.02702
        5.40000000         137.26386460          80.17138999          53.39771054      0.02692
        5.50000000         137.26386460          79.29407449          54.28916677      0.02681
        5.60000000         137.26386460          78.42287702          55.17440113      0.02671
        5.70000000         137.26386460          77.55778432          56.05342711      0.02661
        5.80000000         137.26386460          76.69878309          56.92625826      0.02651
        5.90000000         137.26386460          75.84585997          57.79290817      0.02641
        6.00000000         137.26386460          74.99900158          58.65339046      0.02631
