# time (ps)       Fabs (J/m^2)       E_el (J/m^2)      E_lat (J/m^2)       Delta_E (%)
        0.00001000           0.00000010           0.00003615           0.00411426   **********
        0.10000000           0.02846367           0.00009524           0.00419287      0.84935
        0.20000000           1.28773582           0.00213524           0.00419287      0.99509
        0.30000000          16.61298446           0.01170510           0.00419287      0.99904
        0.40000000          69.50523462           0.02730085           0.00419287      0.99955
        0.50000000         122.40074972           0.03801403           0.00674327      0.99963
        0.60000000         137.72885520           0.04077082           0.01029911      0.99963
        0.70000000         138.98852271           0.04084870           0.01407635      0.99960
        0.80000000         139.01699904           0.04062016           0.01699105      0.99959
        0.90000000         139.01717130           0.04040856           0.01948464      0.99957
        1.00000000         139.01717158           0.04040856           0.02310297      0.99954
        1.10000000         139.01717158           0.04040856           0.02673124      0.99952
        1.20000000         139.01717158           0.03955765           0.02919290      0.99951
        1.30000000         139.01717158           0.03955765           0.03192520      0.99949
        1.40000000         139.01717158           0.03955765           0.03547094      0.99946
        1.50000000         139.01717158           0.03955765           0.03805678      0.99944
        1.60000000         139.01717158           0.03872362           0.04053811      0.99943
        1.70000000         139.01717158           0.03872362           0.04397207      0.99941
        1.80000000         139.01717158           0.03872362           0.04603198      0.99939
        1.90000000         139.01717158           0.03872362           0.04893671      0.99937
        2.00000000         139.01717158           0.03790614           0.05225633      0.99935
        2.10000000         139.01717158           0.03790614           0.05386544      0.99934
        2.20000000         139.01717158           0.03790614           0.05708858      0.99932
        2.30000000         139.01717158           0.03790614           0.05883987      0.99930
        2.40000000         139.01717158           0.03710489           0.06182866      0.99929
        2.50000000         139.01717158           0.03710489           0.06490539      0.99927
        2.60000000         139.01717158           0.03710489           0.06653064      0.99925
        2.70000000         139.01717158           0.03710489           0.06959099      0.99923
        2.80000000         139.01717158           0.03631953           0.07113875      0.99923
        2.90000000         139.01717158           0.03631953           0.07415449      0.99921
        3.00000000         139.01717158           0.03631953           0.07567968      0.99919
        3.10000000         139.01717158           0.03631953           0.07859454      0.99917
        3.20000000         139.01717158           0.03554977           0.08012482      0.99917
        3.30000000         139.01717158           0.03554977           0.08296565      0.99915
        3.40000000         139.01717158           0.03554977           0.08447311      0.99914
        3.50000000         139.01717158           0.03554977           0.08721100      0.99912
        3.60000000         139.01717158           0.03479529           0.08875149      0.99911
        3.70000000         139.01717158           0.03479529           0.09104823      0.99909
        3.80000000         139.01717158           0.03479529           0.09293108      0.99908
        3.90000000         139.01717158           0.03479529           0.09484204      0.99907
        4.00000000         139.01717158           0.03405580           0.09703898      0.99906
