# time (ps)       Fabs (J/m^2)       E_el (J/m^2)      E_lat (J/m^2)       Delta_E (%)
        0.00001000           0.00644755           0.00640337           0.00000003      0.00685
        0.01000000           6.43270376           6.34621157           0.01358959      0.01133
        0.02000000          12.77699206          12.58205513           0.04191190      0.01198
        0.03000000          18.94803575          18.63509999           0.07994261      0.01230
        0.04000000          24.86802181          24.43164246           0.12563964      0.01250
        0.05000000          30.46906728          29.90645114           0.17770596      0.01263
        0.06000000          35.69548193          35.00579587           0.23517637      0.01273
        0.07000000          40.50525933          39.68917119           0.29727086      0.01281
        0.08000000          44.87074374          43.93006100           0.36332905      0.01287
        0.09000000          48.77848908          47.71585133           0.43277718      0.01291
        0.10000000          52.22838834          51.04699915           0.50511010      0.01295
        0.11000000          55.23220153          53.93559596           0.57988079      0.01298
        0.12000000          57.81164355          56.40349122           0.65669389      0.01300
        0.13000000          59.99620851          58.48015269           0.73520114      0.01302
        0.14000000          61.82090443          60.20043685           0.81509795      0.01303
        0.15000000          63.32405462          61.60242444           0.89612022      0.01304
        0.16000000          64.54529340          62.72544741           0.97804135      0.01304
        0.17000000          65.52384818          63.60839831           1.06066909      0.01305
        0.18000000          66.29716244          64.28837607           1.14384235      0.01305
        0.19000000          66.89987916          64.79968710           1.22742788      0.01305
        0.20000000          67.36317328          65.17319089           1.31131692      0.01304
        0.21000000          67.71439928          65.43595612           1.39542194      0.01304
        0.22000000          67.97700419          65.61117838           1.47967348      0.01304
        0.23000000          68.17064878          65.71830299           1.56401721      0.01303
        0.24000000          68.31147847          65.77329518           1.64841127      0.01303
        0.25000000          68.41248963          65.78900395           1.73282385      0.01302
        0.26000000          68.48394433          65.77557337           1.81723113      0.01301
        0.27000000          68.53379587          65.74086408           1.90161557      0.01301
        0.28000000          68.56809734          65.69085789           1.98596442      0.01300
        0.29000000          68.59137466          65.63002683           2.07026854      0.01299
        0.30000000          68.60695367          65.56165674           2.15452149      0.01298
        0.31000000          68.61723697          65.48812109           2.23871880      0.01298
        0.32000000          68.62393137          65.41110577           2.32285741      0.01297
        0.33000000          68.62822948          65.33178867           2.40693523      0.01296
        0.34000000          68.63095112          65.25097939           2.49095090      0.01295
        0.35000000          68.63265080          65.16922550           2.57490351      0.01295
        0.36000000          68.63369766          65.08689144           2.65879249      0.01294
        0.37000000          68.63433358          65.00421601           2.74261746      0.01293
        0.38000000          68.63471456          64.92135318           2.82637819      0.01292
        0.39000000          68.63493967          64.83840073           2.91007456      0.01292
        0.40000000          68.63507084          64.75541979           2.99370647      0.01291
        0.41000000          68.63514623          64.67244799           3.07727388      0.01290
        0.42000000          68.63518896          64.58950813           3.16077677      0.01289
        0.43000000          68.63521285          64.50661383           3.24421513      0.01289
        0.44000000          68.63522602          64.42377310           3.32758897      0.01288
        0.45000000          68.63523318          64.34099055           3.41089828      0.01287
        0.46000000          68.63523702          64.25826884           3.49414307      0.01286
        0.47000000          68.63523905          64.17560944           3.57732336      0.01286
        0.48000000          68.63524011          64.09301316           3.66043915      0.01285
        0.49000000          68.63524066          64.01048043           3.74349046      0.01284
        0.50000000          68.63524093          63.92801150           3.82647730      0.01283
        0.51000000          68.63524107          63.84560646           3.90939968      0.01282
        0.52000000          68.63524114          63.76326538           3.99225761      0.01282
        0.53000000          68.63524117          63.68098827           4.07505111      0.01281
        0.54000000          68.63524119          63.59877514           4.15778020      0.01280
        0.55000000          68.63524120          63.51662599           4.24044487      0.01279
        0.56000000          68.63524120          63.43454081           4.32304515      0.01279
        0.57000000          68.63524120          63.35251957           4.40558106      0.01278
        0.58000000          68.63524120          63.27056229           4.48805259      0.01277
        0.59000000          68.63524120          63.18866892           4.57045977      0.01276
        0.60000000          68.63524120          63.10683948           4.65280261      0.01276
        0.61000000          68.63524120          63.02507394           4.73508112      0.01275
        0.62000000          68.63524120          62.94337228           4.81729532      0.01274
        0.63000000          68.63524120          62.86173451           4.89944522      0.01273
        0.64000000          68.63524120          62.78016059           4.98153083      0.01273
        0.65000000          68.63524120          62.69865053           5.06355216      0.01272
        0.66000000          68.63524120          62.61720430           5.14550924      0.01271
        0.67000000          68.63524120          62.53582190           5.22740206      0.01271
        0.68000000          68.63524120          62.45450330           5.30923065      0.01270
        0.69000000          68.63524120          62.37324850           5.39099502      0.01269
        0.70000000          68.63524120          62.29205749           5.47269518      0.01268
        0.71000000          68.63524120          62.21093024           5.55433115      0.01268
        0.72000000          68.63524120          62.12986675           5.63590293      0.01267
        0.73000000          68.63524120          62.04886701           5.71741054      0.01266
        0.74000000          68.63524120          61.96793099           5.79885400      0.01265
        0.75000000          68.63524120          61.88705870           5.88023332      0.01265
        0.76000000          68.63524120          61.80625010           5.96154851      0.01264
        0.77000000          68.63524120          61.72550520           6.04279958      0.01263
        0.78000000          68.63524120          61.64482397           6.12398656      0.01262
        0.79000000          68.63524120          61.56420641           6.20510944      0.01262
        0.80000000          68.63524120          61.48365250           6.28616825      0.01261
        0.81000000          68.63524120          61.40316223           6.36716299      0.01260
        0.82000000          68.63524120          61.32273558           6.44809369      0.01259
        0.83000000          68.63524120          61.24237254           6.52896035      0.01259
